01/08/2022 10:03:58 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution DelayedJobScheduler is in the Failed state now due to an exception, execution will be retried no more than in 00:00:04
01/08/2022 10:03:58 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution RecurringJobScheduler is in the Failed state now due to an exception, execution will be retried no more than in 00:00:04
01/08/2022 10:04:18 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution Worker is in the Failed state now due to an exception, execution will be retried no more than in 00:00:16
01/08/2022 10:04:18 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:04:51 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:05:21 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:05:49 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution ServerWatchdog is in the Failed state now due to an exception, execution will be retried no more than in 00:00:16
01/08/2022 10:05:50 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution CountersAggregator is in the Failed state now due to an exception, execution will be retried no more than in 00:00:16
01/08/2022 10:05:51 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:06:22 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:07:02 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:07:49 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:08:35 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:09:22 +05:30 [WRN] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 encountered an exception while sending heartbeat
01/08/2022 10:09:22 +05:30 [ERR] (Hangfire.Server.ServerHeartbeatProcess) Server myshec313077l:20768:39dca678 will be restarted due to server time out
01/08/2022 10:09:22 +05:30 [WRN] (Hangfire.Server.BackgroundServerProcess) Server myshec313077l:20768:39dca678 stopped non-gracefully due to ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler. Outstanding work on those dispatchers could be aborted, and there can be delays in background processing. This server instance will be incorrectly shown as active for a while. To avoid non-graceful shutdowns, investigate what prevents from stopping gracefully and add CancellationToken support for those methods.
01/08/2022 10:09:22 +05:30 [WRN] (Hangfire.Server.BackgroundServerProcess) Server myshec313077l:20768:39dca678 there was an exception, server may not be removed
01/08/2022 10:09:22 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is in the Failed state now due to an exception, execution will be retried no more than in 00:00:15
01/08/2022 10:09:53 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:00:31.6583478 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:10:25 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:01:03.2155299 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:10:56 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:01:34.7410959 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:11:28 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:02:06.2461503 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:11:59 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:02:37.7203853 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:12:14 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:02:52.7357232 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:12:46 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:03:24.1759394 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:13:17 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:03:55.6894738 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:13:49 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:04:27.1626265 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:14:20 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:04:58.5282724 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:14:52 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:05:30.1073423 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:15:23 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:06:01.8219770 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:15:55 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:06:33.4088206 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:16:27 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:07:04.9869128 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:16:58 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:07:36.5480629 due to an exception, will be retried no more than in 00:00:15
01/08/2022 10:17:30 +05:30 [ERR] (Hangfire.Processing.BackgroundExecution) Execution BackgroundServerProcess is still in the Failed state for 00:08:07.9727370 due to an exception, will be retried no more than in 00:00:15
